,ID,players_turn,decision_consistency,coalition_suggestion,C0,C1,C2,C3,C4,C5,C6,S0,S1,S2,S3,S4,S5,S6,R0,R1,R2,R3,R4,R5,R6,round_num,CP,in_cp,Reward
3,13,0,1,1,0,1,2,3,4,5,6,1,1,0,0,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1.5
4,13,1,1,1,0,0,1,2,3,4,5,1,0,0,0,0,0,1,0,0,1,2,3,4,5,2,-1,-1,1.5
5,13,1,1,0,0,0,1,2,3,4,3,1,0,0,1,1,0,0,0,0,1,2,3,4,3,3,-1,-1,1.5
6,13,0,1,0,0,0,1,2,3,4,3,1,0,1,0,0,0,0,0,0,1,2,3,4,3,5,-1,-1,1.5
7,13,2,2,2,0,0,1,2,3,4,3,0,0,0,0,0,0,0,0,0,1,2,3,4,3,8,-1,-1,1.5
2,14,1,1,0,0,1,2,3,4,5,6,1,1,0,1,1,0,1,0,1,2,3,4,5,6,1,-1,-1,1
3,14,0,1,0,0,1,2,3,4,5,6,1,0,0,0,0,1,0,0,1,2,3,4,5,6,1,-1,-1,1
4,14,0,1,1,0,1,2,3,4,5,6,1,0,0,1,0,0,0,0,1,2,0,3,4,5,1,-1,-1,1.5
5,14,1,1,1,0,1,2,0,3,4,5,1,0,0,1,1,0,0,0,1,2,0,3,4,5,2,-1,-1,1.5
6,14,0,1,1,0,1,2,0,3,2,3,1,0,1,1,0,1,0,0,1,0,0,2,0,2,7,0,0,1.75
7,14,2,2,2,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,2,8,0,0,1.75
2,15,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,6,1,-1,-1,1
3,15,0,1,1,0,1,2,3,4,5,6,1,0,0,1,0,0,0,0,1,2,0,3,4,5,1,-1,-1,1.5
4,15,1,1,1,0,1,2,0,3,4,5,1,0,0,1,1,0,0,0,1,2,0,3,4,5,2,-1,-1,1.5
5,15,1,0,1,0,1,2,0,3,2,4,1,1,0,1,0,0,0,0,1,2,0,3,2,4,3,-1,-1,1.5
6,15,1,0,1,0,1,2,0,3,2,4,1,0,1,1,0,0,0,0,1,2,0,3,2,4,4,-1,-1,1.5
7,15,1,1,1,0,1,2,0,3,2,4,1,0,0,1,0,0,1,0,1,2,0,3,2,4,5,-1,-1,1.5
8,15,1,0,1,0,1,2,0,3,2,4,1,0,1,1,0,0,0,0,1,2,0,3,2,4,6,-1,-1,1.5
9,15,1,1,1,0,1,2,0,3,2,4,1,0,0,0,0,0,1,0,1,2,0,3,2,4,7,-1,-1,1.5
10,15,1,0,1,0,1,2,0,3,2,4,1,0,0,0,1,0,0,0,1,2,0,3,2,4,8,-1,-1,1.5
11,15,1,1,0,0,1,2,0,3,2,4,1,0,0,0,1,0,1,0,1,2,0,3,2,4,9,-1,-1,1.5
12,15,1,1,0,0,1,2,0,3,2,4,1,1,0,0,1,0,0,0,1,2,0,3,2,4,10,-1,-1,1.5
13,15,0,0,1,0,1,2,0,3,2,3,1,1,0,0,0,0,0,0,0,1,2,3,1,3,10,-1,-1,1.5
14,15,1,1,1,0,0,1,2,3,1,3,1,1,0,0,0,0,1,0,0,1,2,3,1,3,11,-1,-1,1.5
15,15,1,0,1,0,0,1,2,3,1,3,1,1,1,0,0,1,0,0,0,1,2,3,1,3,12,-1,-1,1.5
16,15,1,0,1,0,0,1,2,3,1,3,1,0,1,0,0,1,0,0,0,1,2,3,1,3,13,-1,-1,1.5
17,15,0,0,1,0,0,1,2,3,1,3,1,0,0,1,0,0,0,0,1,2,0,3,2,3,13,-1,-1,1.5
18,15,1,0,1,0,1,2,0,3,2,3,1,1,0,1,0,0,0,0,1,2,0,3,2,3,14,-1,-1,1.5
19,15,1,0,1,0,1,2,0,3,2,3,1,0,1,1,0,0,0,0,1,2,0,3,2,3,15,-1,-1,1.5
20,15,1,1,1,0,1,2,0,3,2,3,1,0,0,1,1,0,0,0,1,2,0,3,2,3,16,-1,-1,1.5
21,15,1,0,1,0,1,2,0,3,2,3,1,1,0,1,0,0,0,0,1,2,0,3,2,3,17,-1,-1,1.5
22,15,1,1,1,0,1,2,0,3,2,3,1,0,0,0,1,0,1,0,1,2,0,3,2,3,18,-1,-1,1.5
23,15,1,1,1,0,1,2,0,3,2,3,1,0,0,0,0,0,1,0,1,2,0,3,2,3,19,-1,-1,1.5
24,15,2,2,2,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,1,1,0,2,1,2,22,-1,-1,1.5
2,16,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,6,1,-1,-1,1
3,16,1,1,1,0,1,2,2,3,4,3,1,0,0,0,0,0,1,0,1,2,2,3,4,3,2,-1,-1,1
4,16,0,1,1,0,1,2,2,3,2,3,1,1,0,0,0,0,0,0,0,1,1,2,1,2,2,-1,-1,1.5
5,16,2,2,2,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,-1,-1,1.5
2,17,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,6,1,-1,-1,1
3,17,0,1,0,0,1,2,3,4,5,6,1,0,0,0,0,1,0,0,1,2,3,4,5,6,1,-1,-1,1
4,17,0,1,1,0,1,2,3,4,5,6,1,1,0,0,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1.5
5,17,1,0,1,0,0,1,2,3,4,3,1,0,0,0,1,0,0,0,0,1,2,3,4,3,2,-1,-1,1.5
6,17,2,2,2,0,0,1,2,3,4,3,0,0,0,0,0,0,0,0,0,1,2,3,4,3,2,-1,-1,1.5
2,2,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,6,1,-1,-1,1
3,2,1,1,1,0,1,2,3,4,5,6,1,0,0,1,0,0,0,0,1,2,0,3,4,5,2,-1,-1,1.5
4,2,1,1,1,0,1,2,0,3,2,4,1,0,0,1,1,0,0,0,1,2,0,3,2,4,3,-1,-1,1.5
5,2,1,1,1,0,1,2,0,3,2,4,1,0,1,1,0,1,0,0,1,0,0,2,0,3,4,-1,0,1.75
6,2,1,1,1,0,1,0,0,2,0,3,1,0,1,1,1,1,0,0,1,0,0,2,0,3,5,-1,0,1.75
7,2,2,2,2,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,3,8,-1,0,1.75
2,201,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,2,3,4,5,1,-1,-1,1
3,201,1,1,1,0,1,2,2,3,4,5,1,1,0,0,0,0,0,0,0,1,1,2,3,4,2,-1,-1,1.5
